dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
5997,2019-08-07 05:45:00-05,,,,,,0.017,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.082,,0.483,,,,,,,,,0.029,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.336,,,,0.553,,0.001,,,,122.569,123.394
5997,2019-08-07 05:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.082,,0.761,,,,,,,,,0.032,,0.024,,,,,,,,0.107,,,,,,,,,,,,,,,,,0.085,,,,0.236,,0.001,,,,122.709,122.864
5997,2019-08-07 05:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.082,,0.65,,,,,,,,,0.111,,0.016,,,,,,,,0.071,,,,,,,,,,,,,,,,,-0.001,,,,0.312,,0.0,,,,122.89,123.501
5997,2019-08-07 05:00:00-05,,,,,,0.022,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.082,,0.942,,,,,,,,,0.02,,0.013,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.195,,,,0.548,,0.0,,,,122.372,123.162
3488,2019-08-07 05:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.239,,,,0.292,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.086,,,,,0.105,,,,,0.005,0.0,,,,123.038,122.724
3488,2019-08-07 05:30:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.238,,,,0.347,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.017,,,,,0.044,,,,,0.005,0.0,,,,122.762,122.436
3488,2019-08-07 05:15:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.24,,,,0.442,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.039,,,,,-0.003,,,,,0.005,0.0,,,,123.171,123.004
3488,2019-08-07 05:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.238,,,,0.393,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.083,,,,,-0.004,,,,,0.005,0.0,,,,122.769,122.453
3488,2019-08-07 06:45:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.236,,,,0.208,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.014,,,,,0.291,,,,,0.005,0.0,,,,122.429,122.163
3488,2019-08-07 06:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.237,,,,0.063,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.086,,,,,0.355,,,,,0.005,0.0,,,,122.507,121.99
3488,2019-08-07 06:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.239,,,,0.212,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.029,,,,,0.172,,,,,0.005,0.0,,,,122.982,122.67
3488,2019-08-07 06:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.234,,,,0.332,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.026,,,,,0.111,,,,,0.005,0.0,,,,122.132,122.184
5997,2019-08-07 06:45:00-05,,,,,,0.017,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.058,,0.18,,,,,,,,,0.194,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.018,,,,0.54,,0.323,,,,121.604,122.475
5997,2019-08-07 06:30:00-05,,,,,,0.021,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.08,,-0.717,,,,,,,,,0.111,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.57,,,,0.547,,0.028,,,,121.903,122.794
5997,2019-08-07 06:15:00-05,,,,,,0.01,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.081,,0.005,,,,,,,,,0.115,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.831,,,,0.55,,0.0,,,,122.555,123.446
5997,2019-08-07 06:00:00-05,,,,,,0.022,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.081,,0.356,,,,,,,,,0.112,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.558,,,,0.551,,0.001,,,,122.19,123.127
3488,2019-08-07 07:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.234,,,,0.178,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.056,,,,,0.293,,,,,0.005,0.0,,,,122.14,121.76
3488,2019-08-07 07:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.236,,,,0.12,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.005,,,,,0.307,,,,,0.005,0.0,,,,122.363,122.14
3488,2019-08-07 07:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.238,,,,0.13,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.081,,,,,0.319,,,,,0.005,0.0,,,,122.694,122.245
3488,2019-08-07 07:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.237,,,,0.102,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.041,,,,,0.34,,,,,0.005,0.0,,,,122.619,122.104
5997,2019-08-07 07:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.115,,0.0,,,,,0.003,,0.596,,,,,,,,,0.109,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.659,,,,0.528,,0.408,,,,122.012,122.638
5997,2019-08-07 07:30:00-05,,,,,,0.002,,,,,,,,,,,0.0,,,,0.763,,0.0,,,,,0.004,,0.942,,,,,,,,,0.122,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.808,,,,0.327,,0.39,,,,122.247,122.032
5997,2019-08-07 07:15:00-05,,,,,,0.005,,,,,,,,,,,0.0,,,,0.097,,0.0,,,,,0.003,,0.342,,,,,,,,,0.098,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.91,,,,0.533,,0.377,,,,122.194,122.761
5997,2019-08-07 07:00:00-05,,,,,,0.026,,,,,,,,,,,0.0,,,,0.021,,0.0,,,,,0.003,,0.685,,,,,,,,,0.384,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.994,,,,0.536,,0.363,,,,121.868,122.923
5997,2019-08-07 08:45:00-05,,,,,,0.022,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.511,,,,,,,,,0.109,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,3.71,,,,0.529,,0.458,,,,123.39,123.914
5997,2019-08-07 08:30:00-05,,,,,,0.018,,,,,,,,,,,0.0,,,,0.301,,0.0,,,,,0.003,,-1.468,,,,,,,,,0.001,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.619,,,,0.325,,0.443,,,,123.659,123.66
5997,2019-08-07 08:15:00-05,,,,,,0.002,,,,,,,,,,,0.0,,,,0.989,,0.0,,,,,0.003,,-0.219,,,,,,,,,0.013,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.248,,,,0.529,,0.429,,,,123.207,122.82
5997,2019-08-07 08:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.098,,0.0,,,,,0.003,,0.296,,,,,,,,,0.108,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.928,,,,0.529,,0.424,,,,122.851,123.491
3488,2019-08-07 08:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.239,,,,-0.354,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.053,,,,,0.716,,,,,0.005,0.0,,,,122.889,122.341
3488,2019-08-07 08:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.24,,,,-0.146,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.069,,,,,0.601,,,,,0.005,0.0,,,,122.993,122.756
3488,2019-08-07 08:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.237,,,,-0.313,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.005,,,,,0.735,,,,,0.004,0.0,,,,122.594,122.276
3488,2019-08-07 08:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.24,,,,0.089,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.067,,,,,0.397,,,,,0.005,0.0,,,,123.054,122.745
3488,2019-08-08 03:45:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.238,,,,0.312,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.005,,,,,-0.003,,,,,0.004,0.0,,,,122.801,122.697
3488,2019-08-08 03:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.238,,,,0.486,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.07,,,,,-0.003,,,,,0.005,0.0,,,,122.778,122.765
3488,2019-08-08 03:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.239,,,,0.419,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.059,,,,,-0.003,,,,,0.005,0.0,,,,122.881,122.743
3488,2019-08-08 03:00:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.239,,,,0.33,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.005,,,,,-0.003,,,,,0.004,0.0,,,,122.952,122.824
3488,2019-08-07 09:45:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.232,,,,0.028,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.015,,,,,0.398,,,,,0.005,0.0,,,,121.712,121.32
3488,2019-08-07 09:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.234,,,,-0.196,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.552,,,,,0.005,0.0,,,,121.977,121.673
3488,2019-08-07 09:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.234,,,,-0.117,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.082,,,,,0.566,,,,,0.005,0.0,,,,121.946,122.154
3488,2019-08-07 09:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.235,,,,-0.05,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.006,,,,,0.455,,,,,0.004,0.0,,,,122.187,122.165
5997,2019-08-07 09:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-0.135,,,,,,,,,0.109,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.079,,,,0.27,,0.501,,,,122.003,122.397
5997,2019-08-07 09:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-0.726,,,,,,,,,0.04,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.676,,,,0.356,,0.492,,,,122.287,122.772
5997,2019-08-07 09:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-0.319,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.355,,,,0.441,,0.484,,,,122.633,123.131
5997,2019-08-07 09:00:00-05,,,,,,0.007,,,,,,,,,,,0.0,,,,0.003,,0.0,,,,,0.003,,0.134,,,,,,,,,0.061,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.083,,,,0.53,,0.471,,,,122.423,123.099
3488,2019-08-07 10:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.001,,,,,,-0.001,,,0.237,,,,-1.065,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.087,,,,,1.478,,,,,0.005,0.0,,,,122.572,122.557
3488,2019-08-07 10:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.234,,,,-0.55,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.028,,,,,0.982,,,,,0.005,0.0,,,,122.092,122.426
3488,2019-08-07 10:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.235,,,,0.069,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.027,,,,,0.325,,,,,0.005,0.0,,,,122.377,122.175
3488,2019-08-07 10:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.231,,,,-0.12,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.086,,,,,0.538,,,,,0.005,0.0,,,,121.489,121.322
5997,2019-08-07 10:45:00-05,,,,,,0.001,,,,,,,,,,,0.001,,,,0.0,,0.0,,,,,0.002,,-5.088,,,,,,,,,0.079,,0.01,,,,,,,,0.001,,,,,,,,,,,,,,,,,5.467,,,,0.173,,-0.001,,,,123.845,124.448
5997,2019-08-07 10:30:00-05,,,,,,0.014,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.063,,,,,,,,,0.082,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.622,,,,0.309,,0.0,,,,122.903,123.573
5997,2019-08-07 10:15:00-05,,,,,,0.022,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-0.887,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.126,,,,0.132,,0.012,,,,122.985,123.004
5997,2019-08-07 10:00:00-05,,,,,,0.011,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.163,,,,,,,,,0.016,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.617,,,,0.281,,0.077,,,,122.333,122.616
5997,2019-08-07 11:45:00-05,,,,,,0.019,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.002,,-3.111,,,,,,,,,0.04,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.563,,,,0.328,,-0.001,,,,122.164,122.811
5997,2019-08-07 11:30:00-05,,,,,,0.022,,,,,,,,,,,0.001,,,,0.0,,0.0,,,,,0.002,,-5.347,,,,,,,,,0.112,,0.01,,,,,,,,0.001,,,,,,,,,,,,,,,,,5.755,,,,0.217,,-0.001,,,,122.86,123.518
5997,2019-08-07 11:15:00-05,,,,,,0.006,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.256,,,,,,,,,0.012,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.571,,,,0.229,,0.0,,,,122.921,123.228
5997,2019-08-07 11:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.999,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.339,,,,0.272,,-0.001,,,,123.033,123.469
3488,2019-08-07 11:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.233,,,,-1.163,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.005,,,,,1.59,,,,,0.004,0.0,,,,121.743,121.485
3488,2019-08-07 11:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.234,,,,-1.588,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.085,,,,,2.024,,,,,0.005,0.0,,,,121.857,121.516
3488,2019-08-07 11:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.235,,,,-0.327,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.041,,,,,0.735,,,,,0.005,0.0,,,,122.19,121.836
3488,2019-08-07 11:00:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.234,,,,-0.386,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.014,,,,,0.81,,,,,0.005,0.0,,,,121.977,121.869
3488,2019-08-07 12:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.234,,,,-0.367,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.067,,,,,0.74,,,,,0.005,0.0,,,,122.043,121.801
3488,2019-08-07 12:30:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.232,,,,-0.176,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.005,,,,,0.583,,,,,0.004,0.0,,,,121.744,121.605
3488,2019-08-07 12:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.233,,,,-0.586,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.073,,,,,1.018,,,,,0.005,0.0,,,,121.853,121.761
3488,2019-08-07 12:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.233,,,,0.067,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.053,,,,,0.31,,,,,0.005,0.0,,,,121.995,121.452
5997,2019-08-07 12:45:00-05,,,,,,0.019,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.089,,-2.119,,,,,,,,,0.003,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.502,,,,0.208,,0.0,,,,123.081,123.37
5997,2019-08-07 12:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.093,,-0.929,,,,,,,,,0.107,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.5,,,,0.293,,0.0,,,,122.252,122.801
5997,2019-08-07 12:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.1,,-2.055,,,,,,,,,0.053,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.57,,,,0.22,,0.0,,,,122.51,123.171
5997,2019-08-07 12:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.02,,-0.987,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.381,,,,0.237,,0.001,,,,122.266,122.666
5997,2019-08-07 13:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.085,,-2.332,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.793,,,,0.229,,0.0,,,,122.978,123.555
5997,2019-08-07 13:30:00-05,,,,,,0.001,,,,,,,,,,,0.001,,,,0.0,,0.0,,,,,0.085,,-3.75,,,,,,,,,0.066,,0.01,,,,,,,,0.001,,,,,,,,,,,,,,,,,4.231,,,,0.227,,0.0,,,,123.003,123.495
5997,2019-08-07 13:15:00-05,,,,,,0.006,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.087,,-1.902,,,,,,,,,0.093,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.481,,,,0.33,,0.0,,,,123.181,123.664
5997,2019-08-07 13:00:00-05,,,,,,0.022,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.088,,-0.618,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.088,,,,0.29,,0.0,,,,122.66,123.127
3488,2019-08-07 13:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.232,,,,-0.359,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.819,,,,,0.005,0.0,,,,121.717,122.086
3488,2019-08-07 13:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.001,,,,,,-0.001,,,0.233,,,,-0.927,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.079,,,,,1.317,,,,,0.005,0.0,,,,121.905,121.988
3488,2019-08-07 13:15:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.235,,,,-0.587,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.005,,,,,0.978,,,,,0.004,0.0,,,,122.306,122.396
3488,2019-08-07 13:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.233,,,,0.056,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.061,,,,,0.388,,,,,0.005,0.0,,,,121.869,121.764
3488,2019-08-07 14:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.234,,,,-0.221,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.018,,,,,0.728,,,,,0.004,0.142,,,,122.043,121.509
3488,2019-08-07 14:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.235,,,,-1.378,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.04,,,,,1.845,,,,,0.005,0.0,,,,122.212,122.075
3488,2019-08-07 14:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.235,,,,-1.215,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.087,,,,,1.635,,,,,0.005,0.0,,,,122.185,122.24
3488,2019-08-07 14:00:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,-0.001,,,0.236,,,,-1.161,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.009,,,,,1.542,,,,,0.005,0.0,,,,122.346,122.578
5997,2019-08-07 14:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.085,,-0.894,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.374,,,,0.324,,0.0,,,,122.27,122.96
5997,2019-08-07 14:30:00-05,,,,,,0.022,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.084,,-3.025,,,,,,,,,0.028,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.484,,,,0.263,,-0.001,,,,123.252,123.688
5997,2019-08-07 14:15:00-05,,,,,,0.022,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.085,,-3.502,,,,,,,,,0.11,,0.01,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.974,,,,0.196,,-0.001,,,,123.31,123.801
5997,2019-08-07 14:00:00-05,,,,,,0.002,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.085,,-2.671,,,,,,,,,0.025,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.206,,,,0.331,,0.0,,,,123.112,123.585
5997,2019-08-07 15:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,0.0,,,,,0.084,,-0.283,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.728,,,,0.289,,0.0,,,,122.917,123.314
5997,2019-08-07 15:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.084,,-0.701,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.228,,,,0.324,,0.0,,,,122.47,123.115
5997,2019-08-07 15:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.084,,-1.076,,,,,,,,,0.094,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.603,,,,0.2,,0.001,,,,122.443,122.969
5997,2019-08-07 15:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.084,,-0.867,,,,,,,,,0.065,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.347,,,,0.242,,0.0,,,,122.234,122.78
3488,2019-08-07 15:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.236,,,,0.489,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.09,,,,,0.508,,,,,0.005,0.542,,,,122.581,122.257
3488,2019-08-07 15:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.236,,,,0.139,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.026,,,,,0.751,,,,,0.005,0.53,,,,122.28,121.922
3488,2019-08-07 15:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.233,,,,0.104,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.032,,,,,0.867,,,,,0.005,0.515,,,,121.99,121.826
3488,2019-08-07 15:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.232,,,,-0.074,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.089,,,,,0.984,,,,,0.005,0.479,,,,121.751,121.513
5997,2019-08-07 16:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.083,,-2.361,,,,,,,,,0.039,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.815,,,,0.183,,0.0,,,,122.566,122.939
5997,2019-08-07 16:30:00-05,,,,,,0.001,,,,,,,,,,,0.001,,,,0.0,,0.0,,,,,0.082,,-3.68,,,,,,,,,0.002,,0.01,,,,,,,,0.001,,,,,,,,,,,,,,,,,4.148,,,,0.323,,-0.001,,,,123.014,123.449
5997,2019-08-07 16:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.083,,-1.455,,,,,,,,,0.053,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.953,,,,0.297,,0.0,,,,122.476,123.085
5997,2019-08-07 16:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.083,,-1.31,,,,,,,,,0.108,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.76,,,,0.193,,0.0,,,,122.879,123.38
3488,2019-08-07 16:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.235,,,,-0.352,,,,,,,,,0.0,0.003,,,,,,,,,,,,,,,,,,,,,0.017,,,,,0.764,,,,,0.004,0.0,,,,122.304,122.228
3488,2019-08-07 16:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.238,,,,-0.489,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.09,,,,,0.987,,,,,0.005,0.0,,,,122.711,122.541
